order_fraction,algorithm,windows,mean_completion_rate,min_completion_rate
0.030000,TWAP,23,1.00000000,1.00000000
0.030000,Forecast VWAP,23,1.00000000,1.00000000
0.030000,POV,23,1.00000000,1.00000000
0.050000,TWAP,23,1.00000000,1.00000000
0.050000,Forecast VWAP,23,1.00000000,1.00000000
0.050000,POV,23,1.00000000,1.00000000
0.100000,TWAP,23,1.00000000,1.00000000
0.100000,Forecast VWAP,23,1.00000000,1.00000000
0.100000,POV,23,0.91333135,0.82766112
0.150000,TWAP,23,0.99545627,0.96685083
0.150000,Forecast VWAP,23,0.99605203,0.97417840
0.150000,POV,23,0.60880915,0.55190729
