session,start_slot,end_slot,window_volume,target_qty,order_fraction,training_sessions,realized_volatility,twap_is_bps,forecast_vwap_is_bps,pov_is_bps,twap_fill,forecast_vwap_fill,pov_fill,forecast_vwap_minus_twap_bps,pov_minus_twap_bps
2026-07-31,09:30,10:25,24490.000000,734,0.030000,5,0.0043573960,-895.866194,-896.639441,-916.589877,1.000000,1.000000,1.000000,-0.773246,-20.723683
2026-07-31,09:45,10:40,20745.000000,622,0.030000,5,0.0025660917,-57.139813,-55.968057,-34.933855,1.000000,1.000000,1.000000,1.171756,22.205957
2026-07-31,10:00,10:55,17776.000000,533,0.030000,5,0.0018073322,-4.886776,-5.096131,-8.917632,1.000000,1.000000,1.000000,-0.209354,-4.030856
2026-07-31,10:15,11:10,14924.000000,447,0.030000,5,0.0016210386,19.129540,19.169871,27.349240,1.000000,1.000000,1.000000,0.040331,8.219700
2026-07-31,10:30,11:25,14899.000000,446,0.030000,5,0.0021053290,-1.183337,-1.172765,-10.130275,1.000000,1.000000,1.000000,0.010573,-8.946938
2026-07-31,10:45,11:40,14770.000000,443,0.030000,5,0.0021644087,8.043348,8.866232,11.363537,1.000000,1.000000,1.000000,0.822884,3.320189
2026-07-31,11:00,11:55,15013.000000,450,0.030000,5,0.0022440455,-26.406369,-22.932052,4.236141,1.000000,1.000000,1.000000,3.474317,30.642510
2026-07-31,11:15,12:10,14484.000000,434,0.030000,5,0.0022002958,-32.077100,-28.851201,-10.588946,1.000000,1.000000,1.000000,3.225899,21.488154
2026-07-31,11:30,12:25,12936.000000,388,0.030000,5,0.0019482753,-3.788042,-2.564956,9.043681,1.000000,1.000000,1.000000,1.223086,12.831723
2026-07-31,11:45,12:40,11837.000000,355,0.030000,5,0.0017040422,-22.944218,-22.216577,-18.178344,1.000000,1.000000,1.000000,0.727641,4.765874
2026-07-31,12:00,12:55,10506.000000,315,0.030000,5,0.0016610323,-6.953071,-6.170794,10.066894,1.000000,1.000000,1.000000,0.782278,17.019965
2026-07-31,12:15,13:10,9848.000000,295,0.030000,5,0.0014093062,-35.424946,-34.887379,-35.242785,1.000000,1.000000,1.000000,0.537567,0.182161
2026-07-31,12:30,13:25,8267.000000,248,0.030000,5,0.0010659936,17.679190,17.656163,6.618793,1.000000,1.000000,1.000000,-0.023026,-11.060396
2026-07-31,12:45,13:40,6732.000000,201,0.030000,5,0.0010026280,32.286225,31.798119,25.825051,1.000000,1.000000,1.000000,-0.488106,-6.461174
2026-07-31,13:00,13:55,5963.000000,178,0.030000,5,0.0007787635,17.492887,17.960644,22.710234,1.000000,1.000000,1.000000,0.467757,5.217347
2026-07-31,13:15,14:10,5764.000000,172,0.030000,5,0.0013131609,-5.512437,-5.260363,0.290828,1.000000,1.000000,1.000000,0.252074,5.803265
2026-07-31,13:30,14:25,5686.000000,170,0.030000,5,0.0014530615,8.212842,8.586719,4.800997,1.000000,1.000000,1.000000,0.373877,-3.411845
2026-07-31,13:45,14:40,5682.000000,170,0.030000,5,0.0014599802,9.713960,11.795617,-11.572036,1.000000,1.000000,1.000000,2.081657,-21.285997
2026-07-31,14:00,14:55,5775.000000,173,0.030000,5,0.0013554030,45.608114,47.565547,34.435607,1.000000,1.000000,1.000000,1.957433,-11.172507
2026-07-31,14:15,15:10,6400.000000,192,0.030000,5,0.0012924353,25.062882,26.107945,5.774698,1.000000,1.000000,1.000000,1.045064,-19.288183
2026-07-31,14:30,15:25,7507.000000,225,0.030000,5,0.0010458339,59.396126,57.379916,24.897794,1.000000,1.000000,1.000000,-2.016210,-34.498332
2026-07-31,14:45,15:40,9257.000000,277,0.030000,5,0.0017082957,71.465898,70.311344,48.921609,1.000000,1.000000,1.000000,-1.154553,-22.544289
2026-07-31,15:00,15:55,13813.000000,414,0.030000,5,0.0030825960,100.460736,113.175291,74.323750,1.000000,1.000000,1.000000,12.714555,-26.136986
